Text,Intent
"Abeg, fit help me pay my school fees?",Payment of Fees
"Please, can you assist me to pay my tuition fees on the school portal?",Payment of Fees
"Oya, help me make the payment for my school fees.",Payment of Fees
"AI, abeg help me settle my school fees on the website.",Payment of Fees
"Please, can you help me complete my fee payment on the school portal?",Payment of Fees
"I beg you, pay my school fees for me on the website.",Payment of Fees
"Help me process my school fee payment on the portal, abeg.",Payment of Fees
Can you assist me in making the school fee payment on the website?,Payment of Fees
Please help me pay my school fees on the school portal.,Payment of Fees
"Please, assist me in paying my school fees on the website.",Payment of Fees
"Abeg, fit help me update my bio data on the school site?",Filling and Updating Bio Data
"Please, can you assist me to fill and update my bio data on the school portal?",Filling and Updating Bio Data
"Oya, help me update my bio data on the website.",Filling and Updating Bio Data
"AI, abeg help me fill and update my bio data on the school portal.",Filling and Updating Bio Data
"Please, can you help me complete and update my bio data on the site?",Filling and Updating Bio Data
"I beg you, update my bio data for me on the school portal.",Filling and Updating Bio Data
"Help me fill and update my bio data on the portal, abeg.",Filling and Updating Bio Data
Can you assist me in updating my bio data on the school website?,Filling and Updating Bio Data
Please help me fill my bio data on the school portal.,Filling and Updating Bio Data
"Biko, assist me in updating my bio data on the website.",Filling and Updating Bio Data
"Abeg, fit help me register my courses for this semester?",Course Registration
"Please, can you assist me to do my course registration on the school portal?",Course Registration
"Oya, help me register my courses on the website.",Course Registration
"AI, abeg help me complete my course registration on the school portal.",Course Registration
"Please, can you help me register my courses on the site?",Course Registration
"I beg you, register my courses for me on the school portal.",Course Registration
"Help me do my course registration on the portal, abeg.",Course Registration
Can you assist me in registering my courses on the school website?,Course Registration
Please help me register my courses on the school portal.,Course Registration
"Biko, assist me in doing my course registration on the website",Course Registration
"Abeg, fit help me apply for hostel accommodation?",Hostel Accommodation
"Please, can you assist me to apply for hostel on the school portal?",Hostel Accommodation
"Oya, help me apply for hostel accommodation on the website.",Hostel Accommodation
"AI, abeg help me complete my hostel application on the school portal.",Hostel Accommodation
"Please, can you help me apply for hostel on the site?",Hostel Accommodation
"I beg you, apply for hostel accommodation for me on the school portal.",Hostel Accommodation
"Help me do my hostel application on the portal, abeg.",Hostel Accommodation
Can you assist me in applying for hostel on the school website?,Hostel Accommodation
Please help me apply for hostel on the school portal.,Hostel Accommodation
"Biko, assist me in doing my hostel application on the website.",Hostel Accommodation
"Abeg, fit help me download my personal documents from the school site?",Download of Documents
"Please, can you assist me to download my documents from the school portal?",Download of Documents
"Oya, help me download my personal files from the website.",Download of Documents
"AI, abeg help me get my personal documents from the school portal.",Download of Documents
"Please, can you help me download my documents on the site?",Download of Documents
"I beg you, download my personal documents for me on the school portal.",Download of Documents
"Help me get my personal documents on the portal, abeg.",Download of Documents
Can you assist me in downloading my documents on the school website?,Download of Documents
Please help me download my personal files on the school portal.,Download of Documents
"Biko, assist me in getting my personal documents from the website.",Download of Documents
"Abeg, fit help me update my profile settings on the school site?",Update Profile Settings
"Please, can you assist me to edit and update my profile on the school portal?",Update Profile Settings
"Oya, help me update my profile settings on the website.",Update Profile Settings
"AI, abeg help me edit my profile settings on the school portal.",Update Profile Settings
"Please, can you help me update my profile on the site?",Update Profile Settings
"I beg you, update my profile settings for me on the school portal.",Update Profile Settings
"Help me edit and update my profile on the portal, abeg.",Update Profile Settings
Can you assist me in updating my profile settings on the school website?,Update Profile Settings
Please help me update my profile on the school portal.,Update Profile Settings
"Biko, assist me in editing my profile settings on the website.",Update Profile Settings
"Abeg, fit help me check my lecture timetable?",Checking Lecture Time
"Please, can you assist me to check my lecture schedule on the school portal?",Checking Lecture Time
"Oya, help me find my lecture times on the website.",Checking Lecture Time
"AI, abeg help me check my lecture timetable on the school portal.",Checking Lecture Time
"Please, can you help me see my lecture schedule on the site?",Checking Lecture Time
"I beg you, check my lecture times for me on the school portal.",Checking Lecture Time
"Help me find my lecture timetable on the portal, abeg.",Checking Lecture Time
Can you assist me in checking my lecture schedule on the school website?,Checking Lecture Time
Please help me check my lecture times on the school portal.,Checking Lecture Time
"Biko, assist me in finding my lecture timetable on the website.",Checking Lecture Time
