Text,Intent
"I want to make a fee payment.",fees
"How do I pay my school fees?",fees
"I need to settle my tuition fees.",fees
"I want to clear my outstanding fees.",fees
"I need to make a payment towards my school fees.",fees
"How can I pay my school dues?",fees
"I need to process my fee payment.",fees
"I want to finalize my fee payment.",fees
"I want to make a full payment of my fees.",fees
"I need to settle my outstanding balance.",fees
"How do I pay my tuition?",fees
"I need to make a payment for my tuition.",fees
"I want to clear my tuition fees.",fees
"I need to pay my course fees.",fees
"How do I pay my school charges?",fees
"I want to fulfill my fee obligations.",fees
"I need to settle my academic dues.",fees
"I want to make a complete fee payment.",fees
"How do I pay my student fees?",fees
"I need to clear my outstanding school charges.",fees
"I want to pay for late registration.",otherFees
"How much is the late fee for course registration?",otherFees
"I need to pay the extra charge for mis dev.",otherFees
"What are the extra charges for hostel accommodation?",otherFees
"I want to clear my extra fee for portal charge.",otherFees
"How do I pay for nuga?",otherFees
"I need to pay the extra charges for turn it in.",otherFees
"What is the amount for faculty charge?",otherFees
"I want to settle the extra fees on my account.",otherFees
"How do I pay the additional charges for matriculation?",otherFees
"I need to clear the outstanding extra fees.",otherFees
"What are the extra charges for graduation?",otherFees
"I want to pay the additional fee for departmental registration.",otherFees
"How much is the extra fee for late library fine?",otherFees
"I need to settle the extra charges for retaking a course.",otherFees
"What are the additional fees for environmental management?",otherFees
"I want to pay the extra fee for graduation gown hire.",otherFees
"How do I pay the extra charges for esp charge?",otherFees
"I need to clear the outstanding extra fees for ID card replacement.",otherFees
"What are the extra fees for cbt charge?",otherFees
"I want to add another course to my registration.",courseReg
"How do I drop a course and add another?",courseReg
"I need to change my course load for the semester.",courseReg
"I want to swap between two courses.",courseReg
"I need to add a course to my timetable.",courseReg
"How do I register for a new elective course?",courseReg
"I want to withdraw from a course and add another.",courseReg
"I need to change my course selection for next semester.",courseReg
"I want to add a practical course to my curriculum.",courseReg
"How do I modify my course registration for the upcoming semester?",courseReg
"I need to add a compulsory course to my registration.",courseReg
"I want to drop an elective course and add another.",courseReg
"How do I change my course load for the next semester?",courseReg
"I want to swap between two elective courses.",courseReg
"I need to add a course to my timetable for next semester.",courseReg
"How do I register for a new course for the next semester?",courseReg
"I want to withdraw from a course and add another for next semester.",courseReg
"I need to change my course selection for the upcoming academic year.",courseReg
"I want to add a practical course to my curriculum for next semester.",courseReg
"How do I modify my course registration for the upcoming academic year?",courseReg
"I want to update my passport information.",biodata
"How do I change my address on the student portal?",biodata
"I need to update my next of kin details.",biodata
"I want to change my phone number on the system.",biodata
"How do I update my email address?",biodata
"I need to correct my date of birth on the portal.",biodata
"I want to change my gender on the system.",biodata
"How do I update my nationality on the portal?",biodata
"I need to change my marital status.",biodata
"I want to update my emergency contact information.",biodata
"How do I change my religion on the portal?",biodata
"I need to update my disability status.",biodata
"I want to change my blood group on the system.",biodata
"How do I update my home address?",biodata
"I need to change my permanent address.",biodata
"I want to update my state of origin.",biodata
"How do I change my local government area?",biodata
"I need to update my country of origin.",biodata
"I want to change my visa status.",biodata
"How do I update my passport number?",biodata
"I want to upload my admission letter.",myDocuments
"How do I submit my admission letter?",myDocuments
"I need to upload my letter of admission.",myDocuments
"I want to upload my acceptance letter.",myDocuments
"How do I attach my admission letter?",myDocuments
"I want to upload my screening fee invoice.",myDocuments
"How do I submit my screening fee receipt?",myDocuments
"I need to upload my fee payment proof.",myDocuments
"Can I upload my screening fee slip?",myDocuments
"I want to upload evidence of screening fee payment.",myDocuments
"How do I submit proof of fee payment?",myDocuments
"I need to upload my bank teller for screening fee.",myDocuments
"Can I upload my screening fee payment slip?",myDocuments
"How do I attach proof of fee payment?",myDocuments
"How do I submit my transcript request?",myDocuments
"I need to upload the transcript request form.",myDocuments
"Can I upload my transcript request now?",myDocuments
"How do I attach my transcript request form?",myDocuments
"I want to submit a transcript request.",myDocuments
"How do I request a transcript?",myDocuments
"I want to check my exam results.",results
"How do I see my grades?",results
"What is my CGPA?",results
"I want to know my academic performance.",results
"Show me my results.",results
"What is my gpa?",results
"I want to see my exam scores.",results
"Can you tell me my GPA?",results
"I need to know if I passed my exams.",results
"What is my standing in class?",results
"I want to check my result for this semester.",results
"How do I access my exam results?",results
"What is my overall GPA?",results
"I need to see my course results.",results
"Can you show me my result slip?",results
"What is my grade point average?",results
"I want to know my academic standing.",results
"How do I check my performance in a course?",results
"What is my result for the last exam?",results
"Can I see my detailed results?",results
"I want to apply for hostel accommodation.",accommodation
"How do I apply for a hostel room?",accommodation
"I need a hostel space.",accommodation
"I want to apply for on-campus accommodation.",accommodation
"Can I apply for a hostel?",accommodation
"How do I secure a hostel room?",accommodation
"I need accommodation on campus.",accommodation
"I want to apply for a hostel place.",accommodation
